year,avg_unemployment_rate
1979,5.504411764705882
1980,6.817973856209151
1981,7.273202614379085
1982,9.18937908496732
1983,9.154738562091502
1984,7.261111111111111
1985,7.032352941176471
1986,6.9256535947712425
1987,6.184803921568627
1988,5.445424836601306
1989,5.125000000000001
1990,5.404738562091503
1991,6.423692810457515
1992,6.829575163398695
1993,6.27532679738562
1994,5.576797385620916
1995,5.220915032679737
1996,5.126470588235294
1997,4.723366013071895
1998,4.370424836601306
1999,4.105392156862744
2000,3.8877450980392156
2001,4.521568627450981
2002,5.383986928104574
2003,5.626307189542483
2004,5.249346405228759
2005,4.959967320261437
2006,4.495751633986928
2007,4.374836601307188
2008,5.36388888888889
2009,8.49558823529412
2010,8.761601307189542
2011,8.125653594771242
2012,7.323039215686273
2013,6.742973856209151
2014,5.747222222222224
2015,5.007679738562091
2016,4.665522875816992
2017,4.165032679738562
2018,3.7748366013071886
2019,3.5668300653594764
2020,7.41486928104575
